latitude,longitude,name
43.306882,11.484912,castelnuovo berardenga|castelnuovo ber.
44.116351,10.409054,castelnuovo di garfagnana|castelnuovo gar.
43.481403,13.084733,castelplanio cupramontana|castelplanio c.
43.210511,13.057274,castelraimondo camerino|castelraimondo
45.201802,7.932162,castelrosso
44.796662,8.62203,castelspina portanova|castelspina p.
44.09007,10.455061,castelvecchio pascoli|castelvecchio p.
40.952072,15.011348,castelvetere
37.684977,12.799552,castelvetrano
45.100095,9.982181,castelvetro
44.503538,11.472148,castenaso
44.503643,11.458659,castenaso stellina
43.123298, 12.032193,castiglion del lago
43.340916, 11.914046,castiglion fiorentino
43.404667, 10.414560,castiglioncello
39.356355, 16.244061,castiglione cosentino
44.915130, 10.044395,castione dei marchesi
41.533014,13.410741,castro-pofi|castro-pofi-vallecorsa
37.363751,13.780842,castrofilippo
45.74524,8.810302,castronno
37.681193,13.643028,castronovo di sicilia|castronovo di s.
37.492765,15.074699,catania acquicella|catania acq.lla
37.475667, 15.061692,catania aeroporto fontanarossa|catania aeroporto-fontanarossa
37.506211,15.099417,catania centrale
37.533989,15.112746,catania ognina|picanello
38.821788,16.612975,catanzaro lido
38.896222,16.599081,catanzaro|catanzaro lido
37.562026,14.688263,catenanuova
43.959931,12.745087,cattolica s.giovanni gabicce|cattolica s.g.g.
38.343785,16.467278,caulonia
45.147055,9.071387,cava carbonara
40.703662,14.708461,cava dei tirreni
45.144867,9.115332,cava manara
45.156823,9.955827,cava tigozzi
45.153655,8.047534,cavagnolo brusasco|cavagnolo brus.
40.819292,14.185679,cavalleggeri aosta|cavalleggeri a.
44.708147,7.692108,cavallermaggiore
45.111302, 12.249304,cavanella d'adige
45.111263,12.249312,cavanella d`adige|cavan.adige
45.052208,12.134893,cavanella po
45.698145,8.8035,cavaria oggiona jerago|cavaria oggiona
45.596079,11.569823,cavazzale
44.29354,9.37251,cavi
45.576307, 10.027499,cazzago san martino
41.573583,13.336417,ceccano
41.692029,12.650992,cecchina
43.31028,10.514225,cecina
38.03285,14.019526,cefalu`|cefalu'
45.688394,12.633987,ceggia
42.076999,13.543398,celano-ovindoli
44.34246,8.542626,celle
40.10287,15.39473,celle bulgheria roccagloriosa|celle bulgheria
44.390798,8.191824,cengio
44.496223,7.591035,centallo
40.090672,15.34674,centola
40.090695, 15.346631,centola-palinuro-marina di camerota|centola-palinuro marina di camerota
41.523962,13.523481,ceprano-falvaterra|ceprano-falvater|ceprano-falvaterra
44.864897,7.495302,cercenasco
42.061082,13.597972,cerchio
43.900121,11.265279,cercina
37.953964,13.78447,cerda
45.196556,11.213921,cerea
45.05062,11.870958,ceregnano
44.482218,11.259876,ceretolo
44.098922,8.234216,ceriale
45.624747, 9.078699,ceriano laghetto - solaro
45.627341, 9.101000,ceriano laghetto parco delle groane|ceriano laghetto-groane
41.315664,15.897298,cerignola
41.315527, 15.896763,cerignola campagna
45.695096,9.396794,cernusco-merate
43.32205,12.98319,cerreto d`esi|cerreto d'esi
43.547124,11.037711,certaldo
45.256927,9.154456,certosa di pavia
41.397604,15.595704,cervaro
